Date,Open,High,Low,Close,EPS,PE,Median_PE_90,Median_PE_180,Median_PE_365,Valid_Period
2015-07-07,145.1,145.1,145.1,145.1,3.89,37.300771208226216,36.47196261682242,38.820093457943926,35.899532710280376,0
2015-07-08,142.45,142.45,142.45,142.45,3.89,36.61953727506426,36.47196261682242,38.80841121495327,36.19537275064268,0
2015-07-09,143.9,143.9,143.9,143.9,3.89,36.99228791773779,36.47196261682242,38.7733644859813,36.33177570093458,0
2015-07-10,145.1,145.1,145.1,145.1,3.89,37.300771208226216,36.47196261682242,38.73831775700934,36.38817480719795,0
2015-07-13,145.05,145.05,145.05,145.05,3.89,37.28791773778921,36.47196261682242,38.70911214953271,36.43691588785046,0
2015-07-14,144.7,144.7,144.7,144.7,3.89,37.19794344473007,36.47196261682242,38.691588785046726,36.50700934579439,0
2015-07-15,143.55,143.55,143.55,143.55,3.89,36.90231362467866,36.47196261682242,38.6857476635514,36.580976863753214,0
2015-07-16,144.0,144.0,144.0,144.0,3.89,37.01799485861182,36.47196261682242,38.65654205607477,36.61953727506426,0
2015-07-17,144.8,144.8,144.8,144.8,3.89,37.22365038560412,36.47196261682242,38.57751423491819,36.81233933161953,0
2015-07-20,141.3,141.3,141.3,141.3,3.89,36.32390745501286,36.4125453475242,38.46653292650698,36.81233933161953,0
2015-07-21,137.9,137.9,137.9,137.9,3.89,35.44987146529563,36.35997525406626,38.32943925233644,36.81233933161953,0
2015-07-22,139.05,139.05,139.05,139.05,3.89,35.745501285347046,36.327841577973714,38.23598130841121,36.81233933161953,0
2015-07-23,139.65,139.65,139.65,139.65,3.89,35.89974293059126,36.259640102827774,38.20093457943925,36.81233933161953,0
2015-07-24,139.0,139.0,139.0,139.0,3.89,35.732647814910024,36.047557840616975,38.16588785046729,36.81233933161953,0
2015-07-27,135.15,135.15,135.15,135.15,3.89,34.74293059125964,35.899637820435814,38.15420560747664,36.81233933161953,0
2015-07-28,141.85,141.85,141.85,141.85,3.89,36.46529562982005,35.899637820435814,38.14836448598131,36.81233933161953,0
2015-07-29,137.65,137.65,137.65,137.65,3.89,35.38560411311054,35.85280373831776,38.13084112149532,36.81233933161953,0
2015-07-30,151.1,151.1,151.1,151.1,3.89,38.84318766066838,35.899637820435814,38.13084112149532,36.822429906542055,0
2015-07-31,151.0,151.0,151.0,151.0,3.89,38.81748071979435,36.047557840616975,38.13084112149532,36.90231362467866,0
2015-08-03,155.05,155.05,155.05,155.05,3.89,39.8586118251928,36.259640102827774,38.13084112149532,36.94087403598972,0
2015-08-04,159.15,159.15,159.15,159.15,3.89,40.912596401028274,36.3560411311054,38.13084112149532,36.99228791773779,0
2015-08-05,159.0,159.0,159.0,159.0,3.89,40.87403598971722,36.4125453475242,38.13084112149532,36.99228791773779,0
2015-08-06,161.95,161.95,161.95,161.95,3.89,41.63239074550128,36.45110575883525,38.13084112149532,37.01799485861182,0
2015-08-07,159.9,159.9,159.9,159.9,3.89,41.10539845758355,36.48615248780722,38.13084112149532,37.19794344473007,0
2015-08-10,159.1,159.1,159.1,159.1,3.89,40.89974293059126,36.54399310477381,38.13084112149532,37.22365038560412,0
2015-08-11,155.95,155.95,155.95,155.95,3.89,40.08997429305912,36.60025706940874,38.13084112149532,37.236503856041125,0
2015-08-12,152.7,152.7,152.7,152.7,3.89,39.25449871465296,36.7159383033419,38.13084112149532,37.27803738317757,0
